Date;amount;name;Solde
15/04/2024;-1174,18;ECH PRET CAP+IN 08922 213949 04;2513,76
19/04/2024;427,55;VIR MANGOPAY;2941,31
23/04/2024;427,55;VIR MANGOPAY;3368,86
23/04/2024;-728,04;PRLV SEPA SYNDICAT DRAGON MIROI;2640,82
23/04/2024;-1,46;PRLV SEPA SYNDICAT DRAGON MIROI;2639,36
06/05/2024;-179;PRLV SEPA TOTALENERGIES ELECTRI;2460,36
07/05/2024;-44,99;PRLV SEPA FREE TELECOM;2415,37
14/05/2024;-486,75;PRLV SEPA SYNDICAT DRAGON MIROI;1928,62
14/05/2024;-18,17;PRLV SEPA SYNDICAT DRAGON MIROI;1910,45
15/05/2024;-1174,18;ECH PRET CAP+IN 08922 213949 04;736,27
16/05/2024;855,1;VIR MANGOPAY;1591,37
20/05/2024;813,72;VIR MANGOPAY;2405,09
24/05/2024;855,1;VIR MANGOPAY;3260,19
05/06/2024;-179;PRLV SEPA TOTALENERGIES ELECTRI;3081,19
06/06/2024;-44,99;PRLV SEPA FREE TELECOM;3036,2
12/06/2024;-304,33;PRLV SEPA SYNDICAT DRAGON MIROI;2731,87
12/06/2024;-18,17;PRLV SEPA SYNDICAT DRAGON MIROI;2713,7
14/06/2024;427,55;VIR MANGOPAY;3141,25
15/06/2024;-1174,18;ECH PRET CAP+IN 08922 213949 04;1967,07
19/06/2024;184,5;VIR MANGOPAY;2151,57
21/06/2024;156;VIR MANGOPAY;2307,57
24/06/2024;156;VIR MANGOPAY;2463,57
01/07/2024;-540;VIR SEPA COMPTA BUDIZ;1923,57
05/07/2024;-44,99;PRLV SEPA FREE TELECOM;1878,58
05/07/2024;-179;PRLV SEPA TOTALENERGIES ELECTRI;1699,58
10/07/2024;-304,33;PRLV SEPA SYNDICAT DRAGON MIROI;1395,25
10/07/2024;-79,76;PRLV SEPA SYNDICAT DRAGON MIROI;1315,49
10/07/2024;-18,17;PRLV SEPA SYNDICAT DRAGON MIROI;1297,32
15/07/2024;-1174,18;ECH PRET CAP+IN 08922 213949 04;123,14
17/07/2024;780;VIR MANGOPAY;903,14
17/07/2024;780;Caution;1683,14
26/07/2024;20;VIR TOTALENERGIES ELECTRICIT;1703,14
05/08/2024;-179;PRLV SEPA TOTALENERGIES ELECTRI;1524,14
06/08/2024;-44,99;PRLV SEPA FREE TELECOM;1479,15
06/08/2024;427,54;VIR STRIPE;
06/08/2024;780;Caution;2686,69
12/08/2024;70,66;VIR STRIPE ;
12/08/2024;780;Caution;
12/08/2024;427,54;VIR STRIPE;
12/08/2024;-68;detecteur de fumee;
12/08/2024;-165;honoraires location;3731,89
12/08/2024;-304,33;PRLV SEPA SYNDICAT DRAGON MIROI;3427,56
12/08/2024;-18,17;PRLV SEPA SYNDICAT DRAGON MIROI;3409,39
15/08/2024;-1174,18;ECH PRET CAP+IN 08922 213949 04;2235,21
21/08/2024;855,08;VIR STRIPE;3090,29
02/09/2024;780;Caution;
02/09/2024;780;Caution;
02/09/2024;427,54;VIR STRIPE;
02/09/2024;427,54;VIR STRIPE;
02/09/2024;-165;honoraires location;
02/09/2024;-165;honoraires location;
02/09/2024;70,66;VIR STRIPE ;
02/09/2024;-18;diagnostic manda;
02/09/2024;-150;recherche locataire (erreur);
02/09/2024;-150;recherche locataire (erreur);4928,03
03/09/2024;427,54;VIR STRIPE;5355,57
05/09/2024;-44,99;PRLV SEPA FREE TELECOM;5310,58
05/09/2024;-179;PRLV SEPA TOTALENERGIES ELECTRI;5131,58
06/09/2024;427,54;VIR STRIPE;5559,12
10/09/2024;-304,33;PRLV SEPA SYNDICAT DRAGON MIROI;5254,79
10/09/2024;-18,17;PRLV SEPA SYNDICAT DRAGON MIROI;5236,62
12/09/2024;427,54;VIR STRIPE;5664,16
15/09/2024;-1 174,18;ECH PRET CAP+IN 08922 213949 04;4489,98
17/09/2024;427,54;VIR STRIPE;4917,52
04/10/2024;427,54;VIR STRIPE;5345,06
04/10/2024;-44,99;PRLV SEPA FREE TELECOM;5300,07
07/10/2024;-239,42;PRLV SEPA MACIF PRODUCTION-MACI;5060,65
07/10/2024;-179;PRLV SEPA TOTALENERGIES ELECTRI;4881,65
09/10/2024;427,54;VIR STRIPE;5309,19
10/10/2024;855,08;VIR STRIPE;6164,27
11/10/2024;427,54;VIR STRIPE;6591,81
14/10/2024;427,54;VIR STRIPE;7019,35
15/10/2024;-1174,18;ECH PRET CAP+IN 08922 213949 04;5845,17
18/10/2024;-304,33;PRLV SEPA SYNDICAT DRAGON MIROI;5540,84
18/10/2024;-18,17;PRLV SEPA SYNDICAT DRAGON MIROI;5522,67
29/10/2024;-2272;PRLV SEPA DIRECTION GENERALE DE;3250,67
05/11/2024;-179;PRLV SEPA TOTALENERGIES ELECTRI;3071,67
07/11/2024;1 282,63;VIR STRIPE;4354,3
07/11/2024;-44,99;PRLV SEPA FREE TELECOM;4309,31
08/11/2024;14,25;VIR STRIPE;4323,56
12/11/2024;-9;F DUPLICATA RELEVE DE COMPTE;4314,56
12/11/2024;-9;F DUPLICATA RELEVE DE COMPTE;4305,56
13/11/2024;-18,17;PRLV SEPA SYNDICAT DRAGON MIROI;4287,39
13/11/2024;-304,33;PRLV SEPA SYNDICAT DRAGON MIROI;3983,06
13/11/2024;427,54;VIR STRIPE;4410,6
15/11/2024;1,47;VIR STRIPE;4412,07
15/11/2024;-1173,25;ECH PRET CAP+IN 08922 213949 04;3238,82
04/12/2024;600;VIR DE MANDA (remb frais recherce);3838,82
05/12/2024;717,17;VIR STRIPE MANDA-ZNFQWZHWIWS1XCUOVYWOU2QFWHICZ MANDA;4555,99
05/12/2024;-44,99;PRLV SEPA FREE TELECOM FHD-1340738623 FREE HAUTDEBIT 1340738623;4511
11/12/2024;-304,33;PRLV SEPA SYNDICAT DRAGON MIROI DS241209-IID1850 APPEL PROVISIONS SUR CHARGES 01 122024 12 12;4206,67
11/12/2024;-18,13;PRLV SEPA SYNDICAT DRAGON MIROI DS241209-IID1883 COTISATION FONDS TRAVAUX 01 12 2024 12 12;4188,54
11/12/2024;744,88;VIR STRIPE MANDA-Y8TW6R89CTZZVWL55C3UY1Z0IKG9W MANDA;4933,42
13/12/2024;165,51;VIR STRIPE MANDA-4IS1RAH2PUK22Y3WQUCWRQXNG89NF MANDA;5098,93
15/12/2024;-1173,25;ECH PRET CAP+IN 08922 213949 04;3925,68
16/12/2024;26,35;VIR TOTALENERGIES ELECTRICIT 0111751477-222702554884 VIREMENT TOTALENERGIES ELECTRICITEET GAZ FRANCE-REFERENCE CLIENT 1117;3952,03
